region,region_code,district_code,lga,ward,subvillage
Tanga,4,1,Lushoto,Hemtoye,Nkaloi
Kigoma,16,3,Kigoma Rural,Kagongo,Kiganza Centre
Arusha,2,7,Meru,Kikatiti,Ulkusare
Singida,13,1,Iramba,Nduguti,Mzimba
Singida,13,2,Singida Rural,Naintiri,Mfumbu
Iringa,11,4,Njombe,Ikuka,Mahalule
Kagera,18,1,Karagwe,Isingiro,Kihanga
Iringa,11,4,Njombe,Ilembula,Iponda
Kigoma,16,2,Kigoma Rural,Mkigo,Kisoro
Morogoro,5,3,Kilombero,Utengule,Mtakuja
Mbeya,12,7,Mbarali,Mawindi,Lembuka
Mbeya,12,7,Mbarali,Ubaruku,Mapinduzi
Mara,20,2,Serengeti,Manchira,Mtakuja
Kigoma,16,2,Kasulu,Kitagata,Kalimungoma
Kagera,18,6,Bukoba Urban,Kibeta,Umkituri
Iringa,11,4,Njombe,Imalinyi,Usita
Arusha,2,7,Meru,Mbuguni,Komoro
Tanga,4,2,Korogwe,Mashewa,Kulasi Majengo
Shinyanga,17,5,Bukombe,Ushirika,Butimba
Iringa,11,3,Makete,Mang'oto,Ikovo
Morogoro,5,2,Morogoro Rural,Tawa,Dongo
Arusha,2,7,Meru,Nkoanrua,Moivaro
Shinyanga,17,8,Kishapu,Mondo,Bushoma
Mara,20,3,Musoma Rural,Buswahili,Shule
Mwanza,19,5,Sengerema,Bupandwamhela,Bulyahilu Center B
Iringa,11,1,Iringa Rural,Magulilwa,Mlanda B
Kagera,18,3,Muleba,Kasharunga,Kasharunga
Pwani,6,1,Bagamoyo,Chalinze,Magwila
Dodoma,1,5,Dodoma Urban,Chihanga,Juhudi
Kigoma,16,3,Kigoma Rural,Mwamgongo,Kilundo
Lindi,80,53,Ruangwa,Luchelegwa,Mwena
Pwani,6,1,Bagamoyo,Kiromo,Shule
Manyara,21,2,Hanang,Measkron,Mara B
Kagera,18,7,Misenyi,Kyaka,Mushasha
Kigoma,16,2,Kasulu,Nyamnyusi,Kitobo
Kigoma,16,2,Kasulu,Muyama,Kishiha
Mwanza,19,7,Missungwi,Misasi,Misasi C
Ruvuma,10,2,Songea Rural,Mpitimbi,Msewo Mwaazi
Shinyanga,17,3,Shinyanga Rural,Mwantini,Madukani A
Tanga,4,4,Tanga,Mabokweni,Kiruku Mchangamweupe
Singida,13,1,Iramba,Ibaga,Mashine
Kigoma,16,1,Kibondo,Bunyambo,Mlima Ndabaneze
Ruvuma,10,1,Tunduru,Marumba,Nguvumali
Kilimanjaro,3,5,Hai,Masama Mashariki,Tema
Kilimanjaro,3,2,Mwanga,Jipe,Kwa Nyange
Shinyanga,17,2,Maswa,Isanga,Malula
Kagera,18,8,Chato,Bwanga,Maendeleo
Iringa,11,1,Iringa Rural,Kiwere,Kidete
Mbeya,12,4,Rungwe,Lutebe,Ipuguso
Arusha,2,7,Meru,Maji ya Chai,Mseseweni
Arusha,2,7,Meru,Maji ya Chai,Kiwawa
Kagera,18,4,Biharamulo,Lusahunga,Nyansalala
Mbeya,12,2,Ileje,Ndola,Vimetu
Dodoma,1,1,Mpwapwa,Kimagai,Chang'Ombe
Kagera,18,7,Misenyi,Kashenye,Kalamila
Morogoro,5,6,Mvomero,Mzumbe,Mingo
Mara,20,4,Bunda,Igundu,Kabarongo
Mara,20,2,Serengeti,Natta,Mwebebonda
Manyara,21,5,Kiteto,Lengatei,Nendebe
Iringa,11,3,Makete,Lupalilo,Ihela Shu
Kagera,18,2,Bukoba Rural,Kaibanja,Ikongora
Kagera,18,4,Biharamulo,Runazi,Majengo B
Arusha,2,6,Longido,Namanga,Ewerendeke
Mbeya,12,4,Rungwe,Itete,Busekele
Tabora,14,4,Urambo,Urambo,Kitega Uchumi
Singida,13,2,Singida Rural,Ikungu,Mosi
Iringa,11,4,Njombe,Imalinyi,Utengule
Shinyanga,17,3,Kahama,Jana,Butondolo
Mwanza,19,7,Missungwi,Usagara,Isera
Kagera,18,8,Chato,Buziku,Nyarutembo
Arusha,2,2,Arusha Rural,Nduruma,Msumbiji
Mbeya,12,7,Mbarali,Utengule Usangu,Wihanga
Shinyanga,17,3,Kahama,Ukune,Igalula A
Tanga,4,1,Lushoto,Mbaramo,Mgwashi
Iringa,11,5,Ludewa,Madope,Ligelango
Mbeya,12,6,Mbozi,Ndalambo,Ipumpila
Lindi,18,2,Lindi Rural,Nachunyu,Mkopwe
Kagera,18,4,Biharamulo,Kalenge,Nyakafundikwa A
Kagera,18,4,Biharamulo,Nyamigogo,Wichamoyo
Mbeya,12,3,Kyela,Kyela Urban,Mikoroshini
Morogoro,5,2,Morogoro Rural,Mkambalani,Mbuyuni
Tabora,14,5,Sikonge,Igigwa,Nyakahunga
Morogoro,5,6,Mvomero,Mvomero,Kipogoro
Morogoro,5,2,Morogoro Rural,Kiroka,Kikundi Kati
Dar es Salaam,7,2,Ilala,Kitunda,Mtaa Wa Kitunda Kati
Kagera,18,3,Muleba,Ruhanga,Busiiko
Iringa,11,4,Njombe,Mahongole,Usetule Kati
Lindi,80,62,Lindi Rural,Ng'apa,Mpakani
Mbeya,12,7,Mbarali,Rujewa,Mkanyageni
Mara,20,1,Tarime,Sirari,Buhemba
Mbeya,12,7,Mbarali,Igurusi,Usafwa
Dar es Salaam,7,3,Temeke,Kimbiji,Madrasa
Mara,20,2,Serengeti,Kebanchabancha,Madukani
Kigoma,16,2,Kasulu,Muhinda,Ruhororo
Ruvuma,10,1,Tunduru,Muhuwesi,Majengo B
Mbeya,12,2,Mbeya Rural,Igale,Kijiweni
Shinyanga,17,5,Bukombe,Masumbwe,Kwa Karoli
Shinyanga,17,2,Maswa,Ipililo,Shuleni
Lindi,80,23,Lindi Rural,Mchinga,Nangumbu
Iringa,11,4,Njombe,Mahongole,Mahongole A
Rukwa,15,2,Sumbawanga Rural,Miangalua,Mianga
Iringa,11,4,Njombe,Wanging'ombe,Kati
Kigoma,16,2,Kasulu,Ruhita,Kagembe B
Mwanza,19,2,Magu,Nyanguge,Matela A
Singida,13,3,Manyoni,Makuru,Londoni
Tabora,14,2,Igunga,Nkinga,Hospital
Kigoma,16,3,Kigoma Rural,Mganza,Kagwila
Shinyanga,17,1,Bariadi,Chinamili,Ilula
Mtwara,90,33,Masasi,Sindano,Ng'Uni
Ruvuma,10,5,Namtumbo,Mkongo,Mwinuko
Rukwa,15,2,Sumbawanga Rural,Mtowisa,Ichese
Pwani,6,1,Bagamoyo,Lugoba,Sekondari
Morogoro,5,3,Kilombero,Ifakara,Katindiuka A
Morogoro,5,1,Kilosa,Kidete,Mbigili
Rukwa,15,2,Sumbawanga Rural,Msanzi,Malangilisho
Manyara,21,1,Babati,Magara,Migungani
Shinyanga,17,1,Bariadi,Bunamhala,Mahaha
Mbeya,12,6,Mbozi,Iyula,Nzovu
Tanga,4,3,Muheza,Magila,Kwegole
Iringa,11,1,Iringa Rural,Mseke,Igavilo
Pwani,60,60,Mafia,Kilindoni,Kigamboni
Arusha,2,7,Meru,Ngarenanyuki,Uzunguni
Pwani,60,63,Mafia,Kirongwe,Jimbo Mjini
Iringa,11,7,Kilolo,Ukumbi,Itimbwi
Mbeya,12,1,Chunya,Mbangala,Majengo
Kagera,18,7,Misenyi,Kassambya,Nyakalembe
Mbeya,12,2,Mbeya Rural,Ilungu,Nyalwela
Mbeya,12,7,Mbarali,Igurusi,Kanisani
Singida,13,2,Singida Rural,Siuyu,Siuyu
Iringa,11,2,Mufindi,Nyololo,J
Iringa,11,2,Mufindi,Isalavanu,I
Pwani,6,1,Bagamoyo,Chalinze,Chalinze Mzee A
Iringa,11,4,Njombe,Mdandu,Sadani
Mtwara,99,1,Mtwara Rural,Njengwa,Mjini
Kilimanjaro,3,3,Same,Suji,Tariso
Kilimanjaro,3,1,Rombo,Kitirima Kingachi,Kitakura
Mara,20,4,Bunda,Neruma,Stooni
Shinyanga,17,8,Kishapu,Mwamashele,Bulilwa
Kagera,18,30,Ngara,Nyakisasa,Nyamahawa
Singida,13,2,Singida Rural,Mudida,Azimio
Iringa,11,4,Njombe,Mahongole,Manzese
Kagera,18,30,Ngara,Mugoma,Mumigezi
Kagera,18,6,Bukoba Urban,Nyanga,Bulibata
Mbeya,12,6,Mbozi,Msia,Msia Kati
Arusha,2,7,Meru,Akheri,Patandi
Pwani,6,1,Bagamoyo,Chalinze,Kudibona
Arusha,24,30,Karatu,Mbulumbulu,Qanqali
Iringa,11,4,Njombe,Ilembula,Sosola
Mbeya,12,3,Kyela,Mwaya,Majengo
Rukwa,15,1,Mpanda,Mishamo,Barabara 5
Mbeya,12,5,Ileje,Ndola,Isanga
Kilimanjaro,3,3,Same,Mwembe,Nasuro B
Mbeya,12,3,Kyela,Bujonde,Bagamoyo
Kilimanjaro,3,4,Moshi Rural,Mabogini,Kijijini
Shinyanga,17,3,Shinyanga Rural,Itwangi,Zobogo
Arusha,2,2,Arusha Rural,Olkokola,Olama
Mbeya,12,6,Mbozi,Ruanda,Shuleni
Singida,13,2,Singida Rural,Merya,Kawawa
Kilimanjaro,3,3,Same,Kirangare,Ngujini
Kigoma,16,2,Kasulu,Munzenze,Kumsenga
Pwani,6,2,Kibaha,Kibaha,Kidenge
Morogoro,5,1,Kilosa,Chakwale,Mtakuja
Singida,13,4,Singida Urban,Mandewa,Mughanga
Shinyanga,17,5,Bukombe,Masumbwe,Ishilanga
Mwanza,19,7,Missungwi,Mbarika,Nyambazu
Tanga,4,2,Korogwe,Msambiazi,Makwei Mvuleni
Mwanza,19,1,Ukerewe,Mukituntu,Songambele
Singida,13,2,Singida Rural,Maghojea,Ccm
Mtwara,90,33,Newala,Nanguruwe,Sokoni
Manyara,21,2,Hanang,Hidet,Olobeshi
Mbeya,12,2,Mbeya Rural,Iwindi,Isanga
Tabora,14,1,Nzega,Miguwa,Kachibijo
Morogoro,5,6,Mvomero,Hembeti,Zahanati
Mbeya,12,1,Chunya,Kanga,Kanga A
Tanga,4,4,Tanga,Pongwe,Pongwe Kati
Morogoro,5,1,Kilosa,Rubeho,Ofsini
Kagera,18,8,Chato,Kigongo,Kibehe A
Dodoma,1,5,Dodoma Urban,Mbalawala,Abdujumbe
Tanga,4,8,Mkinga,Mtimbwani,Mtimbwani A
Iringa,11,1,Iringa Rural,Mahuninga,Uyamba
Kagera,18,6,Bukoba Urban,Bukembe,Ntungamo
Iringa,11,1,Iringa Rural,Kihorogota,Madibila
Tanga,4,3,Muheza,Nkumba,Madago
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Magharibi,Lole
Pwani,6,4,Mkuranga,Magawa,Kimogola
Mtwara,90,33,Masasi,Lukulendi,Kilimanihewa
Kilimanjaro,3,4,Moshi Rural,Mwika Kusini,Maring'A Juu
Mwanza,19,2,Magu,Malili,Nyamatala
Iringa,11,3,Makete,Ipepo,Kinyunyu
Shinyanga,17,3,Kahama,Nyandekwa,Nyandekwa
Mwanza,19,6,Geita,Kalangalala,Ujamaa
Mtwara,99,1,Mtwara Rural,Kitere,Sokoni
Iringa,11,1,Iringa Rural,Mseke,Njia Panda A
Rukwa,15,3,Nkasi,Namanyere,Kipundu Kati
Kagera,18,7,Misenyi,Kyaka,Bulifani
Singida,13,3,Manyoni,Chikuyu,Usanguni
Dodoma,1,5,Dodoma Urban,Mbabala,Chizomoche
Shinyanga,17,3,Shinyanga Rural,Imesela,Uborwa
Dodoma,1,6,Bahi,Zanka,Nyerer
Kigoma,16,2,Kasulu,Msambara,Magomeni
Kilimanjaro,3,3,Same,Ruvu,Muungano
Mbeya,12,2,Mbeya Rural,Iwindi,Tazama
Mtwara,90,33,Masasi,Lukulendi,Madukani
Mbeya,12,4,Rungwe,Ilima,Ilima
Tabora,14,5,Sikonge,Sikonge,Usega
Mbeya,12,6,Mbozi,Nambinzo,Ipenya
Shinyanga,17,3,Shinyanga Rural,Didia,Chembeli
Kigoma,16,1,Kibondo,Rugongowe,Kinani
Ruvuma,10,3,Mbinga,Lipingo,Kawawa
Morogoro,5,4,Ulanga,Mtimbira,Dakusi
Tanga,4,8,Mkinga,Duga,Magaoni
Kilimanjaro,3,2,Mwanga,Kirongwe,Mbale
Rukwa,15,3,Nkasi,Chala,Fuzi
Kigoma,16,2,Kasulu,Munyegera,Rulemba
Kigoma,16,1,Kibondo,Kibondo Urban,Kabigwa
Shinyanga,17,8,Kishapu,Mwamashele,Bukurwa
Arusha,2,2,Arusha Rural,Murieti,Tarakwa
Kigoma,16,3,Kigoma Rural,Uvinza,Mnazi Mmoja
Mwanza,19,2,Magu,Shigala,Nyalwashi
Kilimanjaro,3,4,Moshi Rural,Okoani Kibosho,Mringeni
Shinyanga,17,2,Maswa,Dakama,Mahenge
Rukwa,15,4,Sumbawanga Urban,Ntendo,King`Ombe
Kigoma,16,1,Kibondo,Gwanumpu,Nkoni B
Morogoro,5,5,Morogoro Urban,Mzinga,Kauzeni
Singida,13,1,Iramba,Mwanga,Shule
Arusha,2,7,Meru,Ngarenanyuki,Ilkirumuni
Arusha,24,30,Karatu,Rhotia,Juu
Kilimanjaro,3,4,Moshi Rural,Mbokomu,Kiwalaa
Dodoma,1,5,Dodoma Urban,Chihanga,Makulu
Mtwara,9,4,Tandahimba,Mkoreha,Chiwindi
Mwanza,19,1,Ukerewe,Bwisya,Mwidea
Mbeya,12,6,Mbozi,Nkangamo,Iluma
Mtwara,90,63,Nanyumbu,Maratani,Bombambili 2
Kagera,18,30,Ngara,Kirushya,Mundalu
Mwanza,19,6,Geita,Kalangalala,Nyanza
Shinyanga,17,3,Shinyanga Rural,Ilola,Ijanija
Mbeya,12,3,Kyela,Ikolo,Lubele
Tabora,14,2,Igunga,Nkinga,Barazani
Kagera,18,8,Chato,Buseresere,Imalabupina
Mwanza,19,6,Geita,Kasamwa,Mwabasabi
Mbeya,12,4,Rungwe,Kisondela,Mpuga
Manyara,21,1,Babati,Ufana,Sirigadi
Pwani,60,60,Mafia,Kiegeani,Ukunda
Ruvuma,10,5,Namtumbo,Msindo,Godawni
Mbeya,12,2,Mbeya Rural,Inyala,Magoye
Mbeya,12,3,Kyela,Ikolo,Kiimo
Pwani,60,33,Kisarawe,Marumbo,Manoro
Kigoma,16,1,Kibondo,Mabamba,Majengo Mapya
Rukwa,15,2,Sumbawanga Rural,Mambwenkoswe,Kange
Mtwara,99,1,Mtwara Rural,Ziwani,Chihano
Tanga,4,3,Muheza,Kicheba,Miembeni
Mbeya,12,7,Mbarali,Ubaruku,Ikulu
Mtwara,9,5,Mtwara Urban,Magengeni,Mkundi
Shinyanga,17,1,Bariadi,Zagayu,Sunzula Madukani
Dodoma,1,1,Mpwapwa,Chunyu,Pozamoyo
Mwanza,17,1,Magu,Nkungulu,Madukani
Lindi,80,13,Kilwa,Masoko,Mtanga
Rukwa,15,3,Nkasi,Sintali,Katapulo
Kigoma,16,3,Kigoma Rural,Mwandiga,Msimba B
Ruvuma,10,3,Mbinga,Mtipwili,Likalo
Dodoma,1,5,Dodoma Urban,Hombolo,Muongozo
Lindi,80,43,Liwale,Kiangara,Mitalula
Iringa,11,4,Njombe,Usuka,Kati
Mbeya,12,5,Ileje,Mbebe,Nambigili
Shinyanga,17,8,Kishapu,Bugoro,Bugoro Asili
Shinyanga,17,2,Maswa,Mpindo,Senani
Ruvuma,10,1,Tunduru,Nandembo,Shuleni
Dodoma,1,6,Bahi,Babayu,Mwenge
Iringa,11,4,Njombe,Wangama,Ilulu A
Morogoro,5,3,Kilombero,Kiberege,Tazara
Rukwa,15,2,Sumbawanga Rural,Katazi,Kanyezi Kati
Tabora,14,2,Igunga,Mwashiku,Itobanilo A
Morogoro,5,4,Ulanga,Isongo,Koloa
Dodoma,1,3,Kongwa,Sagara,
Arusha,2,2,Arusha Rural,Moivo,Lebusha
Manyara,21,2,Hanang,Endasak,Endasak
Kilimanjaro,3,4,Moshi Rural,Marangu Mashariki,Koniko B
Shinyanga,17,1,Bariadi,Chinamili,Mang'Ada
Arusha,2,7,Meru,Ngarenanyuki,Luwai
Ruvuma,10,3,Mbinga,Liuli,Mungi Juu
Morogoro,5,2,Morogoro Rural,Kidugalo,Kikondeni
Mtwara,99,1,Mtwara Rural,Njengwa,Mwenge
Manyara,21,4,Simanjiro,Mererani,Songambele
Mbeya,12,7,Mbarali,Rujewa,Nyati
Kigoma,16,2,Kasulu,Rusesa,Sanze
Singida,13,2,Singida Rural,Ihanja,Ufantamie
Mbeya,12,1,Chunya,Mbugani,Mkombozi
Arusha,2,2,Arusha Rural,Bwawani,Kibaoni
Kagera,18,3,Muleba,Karambi,Miziro
Mbeya,12,2,Mbeya Rural,Ilungu,Itete
Arusha,2,6,Longido,Tingatinga,Orro
Dodoma,1,3,Kongwa,Kongwa Urban,
Manyara,21,5,Kiteto,Sunya,Mtarudi
Iringa,11,3,Makete,Lupila,Ibonde
Tabora,14,2,Igunga,Choma,Uswahilini
Kigoma,16,2,Kasulu,Ruhita,Tabirugu
Morogoro,5,3,Kilombero,Kidatu,Kidatu B
Arusha,2,7,Meru,USA River,Leganga
Mara,20,4,Bunda,Kibara,Hospitali
Tabora,14,3,Uyui,Isikizya,Taifa Road
Morogoro,5,3,Kilombero,Lumemo,Mikoroshini
Arusha,24,30,Karatu,Mbulumbulu,Kituma
Morogoro,5,3,Kilombero,Idete,Ndundu
Ruvuma,10,2,Songea Rural,Gumbiro,Mfalanyaki
Iringa,11,4,Njombe,Usuka,Msasa
Pwani,60,53,Rufiji,Chumbi,Nyampakupwani
Ruvuma,10,1,Tunduru,Mchoteka,Misufini
Dodoma,1,4,Chamwino,Manchali,Bwawani B
Ruvuma,10,1,Tunduru,Marumba,Nyasa
Dodoma,1,3,Kongwa,Pandambili,
Kilimanjaro,3,2,Mwanga,Kileo,Majengo
Kilimanjaro,3,4,Moshi Rural,Uru Kusini Mawela,Kariwa Kaskazini
Arusha,24,30,Karatu,Qurus,Sabato
Shinyanga,17,1,Bariadi,Mhunze,Mtakuja
Morogoro,5,4,Ulanga,Usangule,Ifungira
Ruvuma,10,2,Songea Rural,Kilagano,Lulanga
Mbeya,12,1,Chunya,Mafyeko,Jangwani A
Tabora,14,1,Nzega,Mogwa,Kigangama
Arusha,2,2,Arusha Rural,Oljoro,Ujamaa
Iringa,11,5,Ludewa,Mawengi,Kiwanja
Mwanza,19,4,Kwimba,Ngulla,Pulugumwa
Rukwa,15,2,Sumbawanga Rural,Legezamwendo,Chulasitu
Iringa,11,4,Njombe,Mdandu,Kati
Dar es Salaam,7,2,Ilala,Kitunda,Mtaa Wa Mji Mpya
Kilimanjaro,3,4,Moshi Rural,Marangu Mashariki,Lyasongoro
Kilimanjaro,3,3,Same,Chome,Mheta
Iringa,11,2,Mufindi,Nyololo,M
Mtwara,90,33,Newala,Maputi,Kilimahewa
Ruvuma,10,5,Namtumbo,Ligera,Msikitini
Mtwara,90,63,Nanyumbu,Lemasule,Sautimoja
Arusha,2,7,Meru,Maroroni,Nazareti
Mwanza,19,1,Ukerewe,Muriti,Miembeni
Mbeya,12,3,Kyela,Ipande,Kasama
Mwanza,19,7,Missungwi,Misasi,Matale Ng'O
Shinyanga,17,3,Kahama,Mwendakulima,Makungu
Shinyanga,17,2,Maswa,Shishiyu,Mwamigundui
Iringa,11,1,Iringa Rural,Kalenga,Ilangi
Morogoro,5,6,Mvomero,Doma,Doma B
Ruvuma,10,1,Tunduru,Mchesi,Napulu
Rukwa,15,3,Nkasi,Kirando,Katambo
Iringa,11,2,Mufindi,Idunda,M
Morogoro,5,1,Kilosa,Ulaya,Miogoni
Kagera,18,4,Biharamulo,Nyakahura,Mikaragata
Kilimanjaro,3,2,Mwanga,Lembeni,Kiverenge
Mwanza,19,5,Sengerema,Nyanzenda,Luchili
Dar es Salaam,7,2,Ilala,Msongola,Mtaa Wa Kivule
Ruvuma,10,3,Mbinga,Kilosa,Kilosa Juu
Morogoro,5,1,Kilosa,Mabwerebwere,Muungano
Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Kusini,Karamsingi
Kilimanjaro,3,7,Siha,Siha Kati,Naibile
Pwani,6,2,Kibaha,Tumbi,Kidimu
Mbeya,12,7,Mbarali,Rujewa,Mkwajuni
Pwani,60,53,Rufiji,Kibiti,Kilimbili
Kilimanjaro,3,4,Moshi Rural,Uru Kaskazini,Tawingo
Arusha,2,1,Monduli,Selela,Shuleni
Kagera,18,2,Bukoba Rural,Buhendangabo,Mlongo
Dar es Salaam,7,2,Ilala,Msongola,Mtaa Yangeyange
Mbeya,12,2,Mbeya Rural,Mshewe,Mtakuja
Kilimanjaro,3,4,Moshi Rural,Kindi,Muyuni
Shinyanga,17,3,Shinyanga Rural,Didia,Iligiti
Manyara,21,1,Babati,Mamire,Senta
Shinyanga,17,1,Bariadi,Mwaubingi,Mbugani
Kilimanjaro,3,4,Moshi Rural,Mabogini,Rau Ya Kati
Arusha,2,2,Arusha Rural,Kimnyaki,Lekako
Shinyanga,17,7,Shinyanga Urban,Ibadakuli,Uzogore
Pwani,60,53,Rufiji,Mahege,Kimbogo
Kagera,18,7,Misenyi,Kitobo,Musibuka
Lindi,80,43,Liwale,Mbaya,Mapambano
Lindi,80,53,Ruangwa,Mbekenyera,Mpuje
Morogoro,5,3,Kilombero,Mang'ula,General Tyre
Iringa,11,2,Mufindi,Malangali,M
Morogoro,5,3,Kilombero,Chita,Kalihanya
Lindi,80,13,Kilwa,Masoko,Mkwanyule
Mbeya,12,2,Mbeya Rural,Ihango,Uzunguni B
Mwanza,19,4,Kwimba,Maligisu,Mwabadimi
Kigoma,16,3,Kigoma Rural,Matendo,Msunuzi
Mbeya,12,4,Rungwe,Lufilyo,Landani
Mtwara,9,4,Tandahimba,Mnyawa,Madina
Mbeya,12,1,Chunya,Mbangala,Saza Kati
Iringa,11,4,Njombe,Mdandu,Mvinila
Arusha,2,7,Meru,Kikwe,Maziwa
Shinyanga,17,8,Kishapu,Ngofila,Mwaniriri
Mtwara,90,63,Nanyumbu,Napacho,Msufini
Morogoro,5,3,Kilombero,Kibaoni,Kapolo
Iringa,11,4,Njombe,Mdandu,Uchiliwala
Lindi,80,53,Ruangwa,Nambilanje,Chomboko
Shinyanga,17,3,Shinyanga Rural,Usanda,Butwale
Kilimanjaro,3,3,Same,Suji,Gombelesa
Pwani,6,1,Bagamoyo,Kiwangwa,Fukayosi
Kagera,18,2,Bukoba Rural,Kikomero,Kikomero
Kigoma,16,1,Kibondo,Muhange,Ruvumela
Kilimanjaro,3,1,Rombo,Olele,Simbalo
Arusha,2,5,Ngorongoro,Nainokanoka,Munge
Ruvuma,10,1,Tunduru,Kidodoma,Makungani
Ruvuma,10,5,Namtumbo,Msindo,Ukombozi
Lindi,80,43,Liwale,Barikiwa,Songambele
Tanga,4,6,Handeni,Mgambo,Sokoni
Tanga,4,1,Lushoto,Rangwi,Mtimui
Rukwa,15,1,Mpanda,Mtapenda,Mtapenda C
Shinyanga,17,3,Shinyanga Rural,Samuye,Ilobashi
Morogoro,5,3,Ulanga,Minepa,Mikindani
Kagera,18,30,Ngara,Nyakisasa,Nyankende
Iringa,11,4,Njombe,Uwemba,Majengo
Pwani,60,53,Rufiji,Ikwiriri,Kingwande
Arusha,2,2,Arusha Rural,Murieti,Ngwramu
Kilimanjaro,3,1,Rombo,Olele,Mlembea
Singida,13,2,Singida Rural,Mgungira,Iyumbu
Arusha,2,6,Longido,Ketumbeine,Larkaria
Shinyanga,17,3,Shinyanga Rural,Salawe,Ikongoigare
Kigoma,16,3,Kigoma Rural,Uvinza,Jumuiya
Arusha,2,2,Arusha Rural,Kiranyi,Sakei
Dodoma,1,6,Bahi,Mtitaa,Kawawa
Pwani,60,43,Mkuranga,Vikindu,Sangatini
Arusha,2,2,Arusha Rural,Kiranyi,Bondeni
Morogoro,5,1,Kilosa,Mamboya,Magengeni
Kilimanjaro,3,7,Siha,Siha Magharibi,Matadi A
Iringa,11,4,Njombe,Kifanya,Kati
Mtwara,9,5,Mtwara Urban,Jangwani,Mchangani
Shinyanga,17,5,Bukombe,Ushirika,Mlale B
Kagera,18,7,Misenyi,Buyango,Ulaukya
Ruvuma,10,5,Namtumbo,Mgombasi,Kanisani
Shinyanga,17,8,Kishapu,Shagihilu,Mangu
